가게이름,카테고리,전체평점,평점건수,리뷰수,영업상태,영업시간,주소,지번,,연락처,홈페이지,리뷰작성자,작성자리뷰작성수,작성자평균평점,팔로워,리뷰평점,리뷰작성일,리뷰내용,리뷰이미지,
BitterSweet,"호프,요리주점",3,"1
개",,,,인천 미추홀구 경인남길30번길 57 (우)22207,용현동 182-7,,,"웹사이트를 알려주세요
수정제안","
류재형",180,3.2,7,3,2025.06.02.,,,https://place.map.kakao.com/673826975#review
라향각마라탕 인하대점,중국요리,4.3,"6
개",,영업 전,영업 전11:00 오픈월(11/3)11:00 ~ 21:00화(11/4)11:00 ~ 21:00수(11/5)11:00 ~ 21:00목(11/6)11:00 ~ 21:00금(11/7)11:00 ~ 21:00토(11/8)11:00 ~ 21:00일(11/9)11:00 ~ 21:00수정제안,인천 미추홀구 경인남길30번길 48 2층 (우)22207,용현동 191-89,,328745888,"웹사이트를 알려주세요
수정제안","
양고기",5,4.4,0,5,2023.04.07.,,,https://place.map.kakao.com/1145456164#review
라향각마라탕 인하대점,중국요리,4.3,"6
개",,영업 전,영업 전11:00 오픈월(11/3)11:00 ~ 21:00화(11/4)11:00 ~ 21:00수(11/5)11:00 ~ 21:00목(11/6)11:00 ~ 21:00금(11/7)11:00 ~ 21:00토(11/8)11:00 ~ 21:00일(11/9)11:00 ~ 21:00수정제안,인천 미추홀구 경인남길30번길 48 2층 (우)22207,용현동 191-89,,328745888,"웹사이트를 알려주세요
수정제안","
???",6,4.3,0,4,2022.06.09.,나쁘진 않은데 내 입맛엔 영 안맞는듯 ,,https://place.map.kakao.com/1145456164#review
라향각마라탕 인하대점,중국요리,4.3,"6
개",,영업 전,영업 전11:00 오픈월(11/3)11:00 ~ 21:00화(11/4)11:00 ~ 21:00수(11/5)11:00 ~ 21:00목(11/6)11:00 ~ 21:00금(11/7)11:00 ~ 21:00토(11/8)11:00 ~ 21:00일(11/9)11:00 ~ 21:00수정제안,인천 미추홀구 경인남길30번길 48 2층 (우)22207,용현동 191-89,,328745888,"웹사이트를 알려주세요
수정제안","
ams",53,4.9,2,5,2021.06.28.,,,https://place.map.kakao.com/1145456164#review
라향각마라탕 인하대점,중국요리,4.3,"6
개",,영업 전,영업 전11:00 오픈월(11/3)11:00 ~ 21:00화(11/4)11:00 ~ 21:00수(11/5)11:00 ~ 21:00목(11/6)11:00 ~ 21:00금(11/7)11:00 ~ 21:00토(11/8)11:00 ~ 21:00일(11/9)11:00 ~ 21:00수정제안,인천 미추홀구 경인남길30번길 48 2층 (우)22207,용현동 191-89,,328745888,"웹사이트를 알려주세요
수정제안","
맛집 감별사",50,4.2,2,5,2020.04.25.,,,https://place.map.kakao.com/1145456164#review
라향각마라탕 인하대점,중국요리,4.3,"6
개",,영업 전,영업 전11:00 오픈월(11/3)11:00 ~ 21:00화(11/4)11:00 ~ 21:00수(11/5)11:00 ~ 21:00목(11/6)11:00 ~ 21:00금(11/7)11:00 ~ 21:00토(11/8)11:00 ~ 21:00일(11/9)11:00 ~ 21:00수정제안,인천 미추홀구 경인남길30번길 48 2층 (우)22207,용현동 191-89,,328745888,"웹사이트를 알려주세요
수정제안","
ㅇㅅㅇ",116,3.3,4,2,2020.02.22.,맛없음 ,,https://place.map.kakao.com/1145456164#review
라향각마라탕 인하대점,중국요리,4.3,"6
개",,영업 전,영업 전11:00 오픈월(11/3)11:00 ~ 21:00화(11/4)11:00 ~ 21:00수(11/5)11:00 ~ 21:00목(11/6)11:00 ~ 21:00금(11/7)11:00 ~ 21:00토(11/8)11:00 ~ 21:00일(11/9)11:00 ~ 21:00수정제안,인천 미추홀구 경인남길30번길 48 2층 (우)22207,용현동 191-89,,328745888,"웹사이트를 알려주세요
수정제안","
ㅋㅎㅎ",381,4.3,24,5,2019.11.22.,그나마 인하대에선.. ,,https://place.map.kakao.com/1145456164#review
족보있는집 미추홀점,"족발,보쌈",,,,영업 전,영업 전16:00 오픈월(11/3)16:00 ~ 03:00수(11/5)16:00 ~ 03:00목(11/6)16:00 ~ 03:00금(11/7)16:00 ~ 03:00토(11/8)16:00 ~ 03:00일(11/9)16:00 ~ 03:00수정제안,인천 미추홀구 한나루로501번길 21 1층 (우)22209,용현동 4-1,,328722666,"웹사이트를 알려주세요
수정제안",,,,,,,,,
짝노패밀리,음식점,4.5,"2
개",,,,인천 미추홀구 경인남길30번길 46 (우)22207,용현동 191-88,,328727512,"웹사이트를 알려주세요
수정제안","
수댕이??",88,4,4,5,2025.07.07.,"지하라서 분위기가 어두우면서 차분하고 조용해서 데이트하기 좋았어요! 안주도 너무맛있어요????
가격까지 착해서 많이 ... 더보기",https://img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F87941fc9ddd26bc6549c3418735ca1ce00598120%3Foriginal,https://place.map.kakao.com/745625025#review
짝노패밀리,음식점,4.5,"2
개",,,,인천 미추홀구 경인남길30번길 46 (우)22207,용현동 191-88,,328727512,"웹사이트를 알려주세요
수정제안","
3점평범4점맛있5점최고",518,3.8,199,4,2022.02.24.,좋아하는 건어물 안주 집 ,https://img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fc63cc0b305491f4b2cf1141ab7ebd4b355ee0460%3Foriginal,https://place.map.kakao.com/745625025#review
봄날은간다,칵테일바,3.9,"10
개",,영업 전,영업 전17:00 오픈월(11/3)17:00 ~ 03:00화(11/4)17:00 ~ 03:00수(11/5)17:00 ~ 03:00목(11/6)17:00 ~ 03:00금(11/7)17:00 ~ 03:00토(11/8)17:00 ~ 03:00일(11/9)17:00 ~ 03:00수정제안,인천 미추홀구 인하로 인하대점77번길 30 (우)22207,용현동 181-13,,328757132,https://www.facebook.com/bar.springhasgone펼치기https://instagram.com/divebar.springhasgone수정제안,"
.",55,3.4,1,1,2025.10.22.,"박기볼래 기어다님........ 인테리어 난잡함
 ",https://img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F1eba0b6d7c3dce353aceb79a0e80691d52d48524%3Foriginal,https://place.map.kakao.com/16941484#review
봄날은간다,칵테일바,3.9,"10
개",,영업 전,영업 전17:00 오픈월(11/3)17:00 ~ 03:00화(11/4)17:00 ~ 03:00수(11/5)17:00 ~ 03:00목(11/6)17:00 ~ 03:00금(11/7)17:00 ~ 03:00토(11/8)17:00 ~ 03:00일(11/9)17:00 ~ 03:00수정제안,인천 미추홀구 인하로 인하대점77번길 30 (우)22207,용현동 181-13,,328757132,https://www.facebook.com/bar.springhasgone펼치기https://instagram.com/divebar.springhasgone수정제안,"
노르웨이의 숲",37,3.4,3,2,2023.08.03.,초대형견이 걸어다니니 물리지 않도록 조심하시고 베란다엔 강아지똥이 가득하니 밟지않도록 주의하세요 ,,https://place.map.kakao.com/16941484#review
봄날은간다,칵테일바,3.9,"10
개",,영업 전,영업 전17:00 오픈월(11/3)17:00 ~ 03:00화(11/4)17:00 ~ 03:00수(11/5)17:00 ~ 03:00목(11/6)17:00 ~ 03:00금(11/7)17:00 ~ 03:00토(11/8)17:00 ~ 03:00일(11/9)17:00 ~ 03:00수정제안,인천 미추홀구 인하로 인하대점77번길 30 (우)22207,용현동 181-13,,328757132,https://www.facebook.com/bar.springhasgone펼치기https://instagram.com/divebar.springhasgone수정제안,"
남재",2,2.5,0,4,2023.06.06.,2시좀 넘어서 왔더니 문 닫힌곳....아쉽... ,,https://place.map.kakao.com/16941484#review
봄날은간다,칵테일바,3.9,"10
개",,영업 전,영업 전17:00 오픈월(11/3)17:00 ~ 03:00화(11/4)17:00 ~ 03:00수(11/5)17:00 ~ 03:00목(11/6)17:00 ~ 03:00금(11/7)17:00 ~ 03:00토(11/8)17:00 ~ 03:00일(11/9)17:00 ~ 03:00수정제안,인천 미추홀구 인하로 인하대점77번길 30 (우)22207,용현동 181-13,,328757132,https://www.facebook.com/bar.springhasgone펼치기https://instagram.com/divebar.springhasgone수정제안,"
박수하",15,5,0,5,2023.05.22.,,,https://place.map.kakao.com/16941484#review
봄날은간다,칵테일바,3.9,"10
개",,영업 전,영업 전17:00 오픈월(11/3)17:00 ~ 03:00화(11/4)17:00 ~ 03:00수(11/5)17:00 ~ 03:00목(11/6)17:00 ~ 03:00금(11/7)17:00 ~ 03:00토(11/8)17:00 ~ 03:00일(11/9)17:00 ~ 03:00수정제안,인천 미추홀구 인하로 인하대점77번길 30 (우)22207,용현동 181-13,,328757132,https://www.facebook.com/bar.springhasgone펼치기https://instagram.com/divebar.springhasgone수정제안,"
퉁그리",391,3.9,36,4,2023.04.22.,인테리어 좋고 분위기도 좋아요 ,,https://place.map.kakao.com/16941484#review
봄날은간다,칵테일바,3.9,"10
개",,영업 전,영업 전17:00 오픈월(11/3)17:00 ~ 03:00화(11/4)17:00 ~ 03:00수(11/5)17:00 ~ 03:00목(11/6)17:00 ~ 03:00금(11/7)17:00 ~ 03:00토(11/8)17:00 ~ 03:00일(11/9)17:00 ~ 03:00수정제안,인천 미추홀구 인하로 인하대점77번길 30 (우)22207,용현동 181-13,,328757132,https://www.facebook.com/bar.springhasgone펼치기https://instagram.com/divebar.springhasgone수정제안,"
3점평범4점맛있5점최고",518,3.8,199,4,2022.02.03.,분위기 좋은 칵테일바 ,,https://place.map.kakao.com/16941484#review
봄날은간다,칵테일바,3.9,"10
개",,영업 전,영업 전17:00 오픈월(11/3)17:00 ~ 03:00화(11/4)17:00 ~ 03:00수(11/5)17:00 ~ 03:00목(11/6)17:00 ~ 03:00금(11/7)17:00 ~ 03:00토(11/8)17:00 ~ 03:00일(11/9)17:00 ~ 03:00수정제안,인천 미추홀구 인하로 인하대점77번길 30 (우)22207,용현동 181-13,,328757132,https://www.facebook.com/bar.springhasgone펼치기https://instagram.com/divebar.springhasgone수정제안,"
정찬희",3,5,0,5,2021.11.14.,,,https://place.map.kakao.com/16941484#review
봄날은간다,칵테일바,3.9,"10
개",,영업 전,영업 전17:00 오픈월(11/3)17:00 ~ 03:00화(11/4)17:00 ~ 03:00수(11/5)17:00 ~ 03:00목(11/6)17:00 ~ 03:00금(11/7)17:00 ~ 03:00토(11/8)17:00 ~ 03:00일(11/9)17:00 ~ 03:00수정제안,인천 미추홀구 인하로 인하대점77번길 30 (우)22207,용현동 181-13,,328757132,https://www.facebook.com/bar.springhasgone펼치기https://instagram.com/divebar.springhasgone수정제안,"
왕민",18,3.6,0,5,2021.06.06.,세상에서 제일맛있는 모히또가 존재하는 바 ,,https://place.map.kakao.com/16941484#review
봄날은간다,칵테일바,3.9,"10
개",,영업 전,영업 전17:00 오픈월(11/3)17:00 ~ 03:00화(11/4)17:00 ~ 03:00수(11/5)17:00 ~ 03:00목(11/6)17:00 ~ 03:00금(11/7)17:00 ~ 03:00토(11/8)17:00 ~ 03:00일(11/9)17:00 ~ 03:00수정제안,인천 미추홀구 인하로 인하대점77번길 30 (우)22207,용현동 181-13,,328757132,https://www.facebook.com/bar.springhasgone펼치기https://instagram.com/divebar.springhasgone수정제안,"
lucky",44,4.1,3,4,2020.11.05.,"분위기 좋은 칵테일바
인테리어가 예쁘고
칵테일 제조하는 바테이블쪽 가면 
주르륵 놓여있는 술병들이 외국 느낌... 더보기",,https://place.map.kakao.com/16941484#review
봄날은간다,칵테일바,3.9,"10
개",,영업 전,영업 전17:00 오픈월(11/3)17:00 ~ 03:00화(11/4)17:00 ~ 03:00수(11/5)17:00 ~ 03:00목(11/6)17:00 ~ 03:00금(11/7)17:00 ~ 03:00토(11/8)17:00 ~ 03:00일(11/9)17:00 ~ 03:00수정제안,인천 미추홀구 인하로 인하대점77번길 30 (우)22207,용현동 181-13,,328757132,https://www.facebook.com/bar.springhasgone펼치기https://instagram.com/divebar.springhasgone수정제안,"
ㅋㅎㅎ",381,4.3,24,5,2020.04.01.,짱큰 개들 있음 ,,https://place.map.kakao.com/16941484#review
제철홍어무침꽃게장,"해물,생선",5,"2
개",,영업 전,영업 전11:00 오픈연중무휴월(11/3)11:00 ~ 21:00화(11/4)11:00 ~ 21:00수(11/5)11:00 ~ 21:00목(11/6)11:00 ~ 21:00금(11/7)11:00 ~ 21:00토(11/8)11:00 ~ 21:00일(11/9)11:00 ~ 21:00수정제안,인천 미추홀구 인주대로 258 1층 (우)22209,용현동 70-21,,328730831,"웹사이트를 알려주세요
수정제안","
비비비",37,4.6,2,5,2023.11.03.,"정말 맛있었어요!! 원래 각 주문에 2인이상인거 같은데 문 열자마자 가서 양념 간장 하나씩 되냐고 하니 안 바쁘니 해주신다고 해주셨네요 ㅠ
암꽃... 더보기",https://img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F24450c9dca664bc2ed20310c9e20f3674d888302%3Foriginal,https://place.map.kakao.com/1498287442#review
제철홍어무침꽃게장,"해물,생선",5,"2
개",,영업 전,영업 전11:00 오픈연중무휴월(11/3)11:00 ~ 21:00화(11/4)11:00 ~ 21:00수(11/5)11:00 ~ 21:00목(11/6)11:00 ~ 21:00금(11/7)11:00 ~ 21:00토(11/8)11:00 ~ 21:00일(11/9)11:00 ~ 21:00수정제안,인천 미추홀구 인주대로 258 1층 (우)22209,용현동 70-21,,328730831,"웹사이트를 알려주세요
수정제안","
또다시사랑",33,3.8,2,5,2022.04.06.,"사진? 뭣이 중헌디~~~

인천에서 이집... 더보기",,https://place.map.kakao.com/1498287442#review
인하 정일품,한식,5,"2
개",,영업 전,영업 전11:00 오픈월(11/3)11:00 ~ 20:00화(11/4)11:00 ~ 20:00수(11/5)11:00 ~ 20:00목(11/6)11:00 ~ 20:00금(11/7)11:00 ~ 20:00토(11/8)11:00 ~ 20:00일(11/9)11:00 ~ 20:00수정제안,인천 미추홀구 인하로 인하대점67번길 6-19 지하1층 (우)22207,용현동 193-1,,,"웹사이트를 알려주세요
수정제안","
마타누이",63,4.6,1,5,2025.09.12.,"가격이 정말 착하고 음식도 맛있는 곳입니다. 제육볶음, 보쌈, 갈비, 김치찌개 등 다양한 한식 메뉴들을 골라 먹을 수 있어서 아주 좋습니다. ",https://img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F7b3abbc8804ff0a56fd3688604d6851fab7cf7e3%3Foriginal,https://place.map.kakao.com/16686932#review
인하 정일품,한식,5,"2
개",,영업 전,영업 전11:00 오픈월(11/3)11:00 ~ 20:00화(11/4)11:00 ~ 20:00수(11/5)11:00 ~ 20:00목(11/6)11:00 ~ 20:00금(11/7)11:00 ~ 20:00토(11/8)11:00 ~ 20:00일(11/9)11:00 ~ 20:00수정제안,인천 미추홀구 인하로 인하대점67번길 6-19 지하1층 (우)22207,용현동 193-1,,,"웹사이트를 알려주세요
수정제안","
의진",32,4.1,1,5,2023.09.10.,1티어 김볶밥 ,,https://place.map.kakao.com/16686932#review
감탄떡볶이 인하대점,떡볶이,5,"4
개",,영업 전,영업 전11:00 오픈월(11/3)11:00 ~ 22:00화(11/4)11:00 ~ 22:00수(11/5)11:00 ~ 22:00목(11/6)11:00 ~ 22:00금(11/7)11:00 ~ 22:00토(11/8)11:00 ~ 22:00일(11/9)11:00 ~ 22:00수정제안,인천 미추홀구 인하로 인하대점 83 1층 (우)22207,용현동 190-32,,328735889,"http://www.gamtan.co.kr
수정제안","
기어다니는 치타",8,5,0,5,2025.03.30.,1인세트 좋아요 ,,https://place.map.kakao.com/662045258#review
감탄떡볶이 인하대점,떡볶이,5,"4
개",,영업 전,영업 전11:00 오픈월(11/3)11:00 ~ 22:00화(11/4)11:00 ~ 22:00수(11/5)11:00 ~ 22:00목(11/6)11:00 ~ 22:00금(11/7)11:00 ~ 22:00토(11/8)11:00 ~ 22:00일(11/9)11:00 ~ 22:00수정제안,인천 미추홀구 인하로 인하대점 83 1층 (우)22207,용현동 190-32,,328735889,"http://www.gamtan.co.kr
수정제안","
hd",374,4.3,27,5,2021.10.10.,,,https://place.map.kakao.com/662045258#review
감탄떡볶이 인하대점,떡볶이,5,"4
개",,영업 전,영업 전11:00 오픈월(11/3)11:00 ~ 22:00화(11/4)11:00 ~ 22:00수(11/5)11:00 ~ 22:00목(11/6)11:00 ~ 22:00금(11/7)11:00 ~ 22:00토(11/8)11:00 ~ 22:00일(11/9)11:00 ~ 22:00수정제안,인천 미추홀구 인하로 인하대점 83 1층 (우)22207,용현동 190-32,,328735889,"http://www.gamtan.co.kr
수정제안","
^^",1,5,0,5,2020.04.24.,최고의 맛집! 떡볶이는 물론이고 튀김 어묵 순대 허브탕수육 어떤 메뉴를 시켜도 JMTGR 사장님도 정말정말 친절하시고 깨끗한 최고의 맛집! 추천합니다!! ,,https://place.map.kakao.com/662045258#review
감탄떡볶이 인하대점,떡볶이,5,"4
개",,영업 전,영업 전11:00 오픈월(11/3)11:00 ~ 22:00화(11/4)11:00 ~ 22:00수(11/5)11:00 ~ 22:00목(11/6)11:00 ~ 22:00금(11/7)11:00 ~ 22:00토(11/8)11:00 ~ 22:00일(11/9)11:00 ~ 22:00수정제안,인천 미추홀구 인하로 인하대점 83 1층 (우)22207,용현동 190-32,,328735889,"http://www.gamtan.co.kr
수정제안","
허니캐럿",24,3.5,0,5,2020.01.19.,인생맛집 ,,https://place.map.kakao.com/662045258#review
한담마라탕,중식,1,"1
개",,영업 중,영업 중23:59 까지월(11/3)00:00 ~ 23:59화(11/4)00:00 ~ 23:59수(11/5)00:00 ~ 23:59목(11/6)00:00 ~ 23:59금(11/7)00:00 ~ 23:59토(11/8)00:00 ~ 23:59일(11/9)00:00 ~ 23:59요기요 제공수정제안,인천 미추홀구 경인남길102번길 17 (우)22207,용현동 179-1,,7076143579,"웹사이트를 알려주세요
수정제안","
이중희",14,3.3,1,1,2025.05.24.,여기 양 진짜 적고 콜라도 미지근해요 맛없음 ,,https://place.map.kakao.com/867724700#review
29포차,실내포장마차,5,"1
개",,영업 전,영업 전16:00 오픈월(11/3)16:00 ~ 04:00화(11/4)16:00 ~ 04:00수(11/5)16:00 ~ 04:00목(11/6)16:00 ~ 04:00금(11/7)16:00 ~ 04:00토(11/8)16:00 ~ 04:00일(11/9)16:00 ~ 04:00수정제안,인천 미추홀구 인하로 인하대점77번길 20 지하1층 (우)22207,용현동 182-26,,,"웹사이트를 알려주세요
수정제안","
김한성",1,5,0,5,2024.11.10.,,,https://place.map.kakao.com/1476287156#review
비원,술집,,,"38
개",,"휴무일내일 18:00 오픈매주 월요일, 일요일 휴무월(11/3)휴무일화(11/4)18:00 ~ 01:0024:00 라스트오더수(11/5)18:00 ~ 01:0024:00 라스트오더목(11/6)18:00 ~ 01:0024:00 라스트오더금(11/7)18:00 ~ 01:0024:00 라스트오더토(11/8)18:00 ~ 01:0024:00 라스트오더일(11/9)휴무일수정제안",인천 미추홀구 인하로 인하대점 117 (우)22208,용현동 92-30,,328724011,"웹사이트를 알려주세요
수정제안",,,,,,,,,
삼삼오오,한식,4.3,"4
개",,,,인천 미추홀구 인하로 인하대점 83 (우)22207,용현동 190-32,,,"웹사이트를 알려주세요
수정제안","
찍먹이쥬",23,3.6,3,5,2024.02.18.,어릴 때 자주 가던 집인데 가성비는 개 지리면서도 맛도 괜찮음  ,,https://place.map.kakao.com/1289938493#review
삼삼오오,한식,4.3,"4
개",,,,인천 미추홀구 인하로 인하대점 83 (우)22207,용현동 190-32,,,"웹사이트를 알려주세요
수정제안","
느낌 가는 대로",71,4.8,3,5,2023.04.03.,치킨불고기는 집에서 닭가슴살로 만든 찜닭 느낌이고 돌솥비빔밥도 무난했어요. 제육볶음이 제일 괜찮은 것 같아요. 떡볶이 되게 신기한 맛인데 은근 중독성 있어요. 가격은 6500~7000원입니다. ,https://img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F0ff0d3adb4d2c708edd838656f5d9b1f2bb2acfa%3Foriginal,https://place.map.kakao.com/1289938493#review
삼삼오오,한식,4.3,"4
개",,,,인천 미추홀구 인하로 인하대점 83 (우)22207,용현동 190-32,,,"웹사이트를 알려주세요
수정제안","
Leo",2,4.5,0,4,2022.11.01.,몇시까지 운영하십니까? ,,https://place.map.kakao.com/1289938493#review
삼삼오오,한식,4.3,"4
개",,,,인천 미추홀구 인하로 인하대점 83 (우)22207,용현동 190-32,,,"웹사이트를 알려주세요
수정제안","
퉁그리",391,3.9,36,3,2021.11.19.,한끼떼우기에 적절 ,,https://place.map.kakao.com/1289938493#review
영종식당,한식,4.7,"3
개",,영업 전,영업 전11:00 오픈월(11/3)11:00 ~ 20:00화(11/4)11:00 ~ 20:00수(11/5)11:00 ~ 20:00목(11/6)11:00 ~ 20:00금(11/7)11:00 ~ 20:00토(11/8)휴무일일(11/9)휴무일수정제안,인천 미추홀구 인하로 인하대점 63-1 (우)22207,용현동 198-36,,,"웹사이트를 알려주세요
수정제안","
다녀왔어요",46,4.3,4,5,2025.02.06.,"파전 맛있어요
또 갈래요 ",https://img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F841ecc45aafcc352a86b2e9be3d759797bde8c99%3Foriginal,https://place.map.kakao.com/21374340#review
