가게이름,카테고리,전체평점,평점건수,리뷰수,리뷰작성자,리뷰작성일,작성자리뷰작성수,작성자평균평점,리뷰평점,리뷰내용,X3_Sentiment,X1_Organic_Count,X2_Ad_Count,X1_Organic_Ratio,X2_Ad_Ratio,X1_Organic_Flag,X2_Ad_Flag,X4_Specificity,X5_rating_mean,X6_review_num,X7_content_sim,X8_Is_Viral,label,is_StrongLabeled,validated_label,ad_prob,ad_pred,text_len
청년다방 인하대점,떡볶이,3.3,9,0,ys1983,2017-08-31,1,4.0,4,매장이 깔끔하고  음식들이 맛있어요  ,0.503361046,0,1,0.0,0.25,0,1,21,4.0,1,0.0,0,-1,False,1,0.070433928,0,21
인하칼국수 인하대후문점,칼국수,4.3,35,24,뜌뜌,2022-04-17,11,3.9,5,사장님 친절하시구 보리밥이랑 칼국수랑 반찬 다 맛있고 최고ㅠㅠㅠㅠ ,0.504848778,2,0,0.25,0.0,1,0,37,3.9,11,0.006979405,0,-1,False,0,0.070078098,0,37
육쌈냉면 인하대점,냉면,2.7,21,16,장재환,2024-04-29,1,1.0,1,여러명 시키면 고기양 적음 알반지 사장인지 다 집어던짐 ,0.397111058,0,0,0.0,0.0,0,0,31,1.0,1,0.0,0,0,False,0,0.070127159,0,31
뭉클로 샌드위치 디저트,패스트푸드,4.5,8,12,김연직,2020-10-16,1,5.0,5,맛있는 커피와 신선하고 깔끔한 샌드위치 감사드려요~친절하신 사장님 덕분에 기분 좋은 ... 더보기,0.505548537,1,0,0.083333333,0.0,1,0,54,5.0,1,0.0,1,-1,False,0,0.085163937,0,54
더진국 수육국밥 인하대점,국밥,2.5,19,0,신나래,2024-02-09,392,4.8,5,내부가 깔끔하고 국밥류가 맛있어요♥? ,0.507712662,0,0,0.0,0.0,0,0,21,4.8,392,0.01843303,0,-1,False,0,0.071610448,0,21
고수찜닭 본점,닭요리,3.7,31,79,버터우유,2021-07-08,63,2.7,3,오랜 시간 대학로에서 자리를 지키고 있는 곳.맛은 좋은데 양이 좀 적은 느낌임 ,0.905737638,0,1,0.0,0.083333333,0,1,44,2.7,63,0.008635484,0,0,False,0,0.072651691,0,44
육쌈냉면 인하대점,냉면,2.7,21,16,J,2022-09-30,69,4.7,5,맵찔이인 내게 비냉은 너무 매움 그러나 물냉 비빔밥은 맛있음 특히 비빔밥 가성비 좋은 듯 ,0.786447406,0,0,0.0,0.0,0,0,50,4.7,69,0.008474747,0,-1,False,0,0.079749217,0,50
커리야,인도음식,4.3,29,41,BSR,2025-02-07,1004,3.7,3,3과 4의 맛. 향이 한국인에게 맞추려 약해진 느낌이랄까? 애매해진 향과 맛. 그래서 특색이 ... 더보기,0.68606168,0,1,0.0,0.066666667,0,1,59,3.7,1004,0.076923077,0,0,False,0,0.072462705,0,59
헤드라이너,칵테일바,4.6,9,13,LJY,2025-07-26,3,5.0,5,"좋은 음악과 분위기와 함께, 편안하게 혼술하기도 여럿이서 마시기더 좋아요. 특히 사장님께서 너무 친절하셔서 좋습니다! ",0.507710278,1,0,0.071428571,0.0,1,0,66,5.0,3,0.0,0,-1,False,0,0.094676644,1,66
당나발포차 인하대점,실내포장마차,5.0,49,68,장미꽃향기,2025-04-09,13,5.0,5,"인하대 근처 포차 중에서는 분위기 깔끔하고 좌석 간격 넓은 편이라 회식 장소로 괜찮더라고요. 안주 퀄리티가 특히 좋았습니다. 닭발, 깐쇼새우, 가리비탕 모두 인기 많았고요, 술도 다양하게 있어서 고르는 재미가 있었네요. ",0.513667226,0,1,0.0,0.034482759,0,1,123,5.0,13,0.0,0,-1,False,0,0.129644558,1,123
감탄떡볶이 인하대점,떡볶이,5.0,4,0,^^,2020-04-24,1,5.0,5,최고의 맛집! 떡볶이는 물론이고 튀김 어묵 순대 허브탕수육 어떤 메뉴를 시켜도 JMTGR 사장님도 정말정말 친절하시고 깨끗한 최고의 맛집! 추천합니다!! ,0.501955092,2,1,0.105263158,0.052631579,1,1,86,5.0,1,0.0,0,-1,False,0,0.094956496,1,86
이삭토스트 인천 인하대점,토스트,4.9,12,0,레코,2023-04-07,63,4.2,5,빠르게 음식이 나오고 엄청 친절하셔서 기분좋게 먹었습니다 ,0.504064322,1,1,0.142857143,0.142857143,1,1,32,4.2,63,0.041666667,0,-1,False,1,0.077616467,0,32
노랑통닭 인하대점,치킨,3.9,8,0,이정은,2021-04-07,16,5.0,5,전화주문했는데 사장님이 친절하게 받아주셨어요~~^^ 양도 많고 감자튀김도 맛있네요^^튀김옷이 참 바삭바삭합니다^^ ,0.507824481,2,0,0.2,0.0,1,0,64,5.0,16,0.0,0,-1,False,0,0.080376794,0,64
시장을여는사람들 인하대점,술집,2.0,4,0,공돌이,2023-10-19,18,5.0,5,깔끔하고 무난하게 맛있는 술집입니다:) ,0.504721165,0,1,0.0,0.25,0,1,22,5.0,18,0.0,0,-1,False,1,0.080537597,0,22
금산양꼬치 본점,양꼬치,3.4,38,52,지수,2022-04-26,2,3.0,1,별로... 20대 초반이라 어려보였는지 계속 니니 거림... 민증 보여줬는데도 직원들끼리 삿대질하면서 쑥덕거려서 학생증까지 보여줌 ... 그러고 나서도 계속 쳐다보면서 양꼬치 어떻게 해라 훈수질... 더보기,0.169353828,1,0,0.041666667,0.0,1,0,115,3.0,2,0.0,1,0,False,0,0.080816227,0,115
알촌 인하대점,퓨전요리,3.9,14,21,신나래,2023-08-01,392,4.8,5,추억의 맛!항상 잘 먹고 있습니다! ,0.503281415,0,0,0.0,0.0,0,0,20,4.8,392,0.01843303,0,-1,False,0,0.071591255,0,20
동궁찜닭 인하대점,닭요리,5.0,3,0,찍먹이쥬,2024-02-18,23,3.6,5,음식 고를 때 가성비 중요하게 생각하고 위생이나 친절 많이 생각하는데 여기는 그냥 찜닭집들 중 가장... 더보기,0.790492654,1,1,0.0625,0.0625,1,1,62,3.6,23,0.033535354,0,-1,False,0,0.070858872,0,62
핸즈업,"호프,요리주점",4.8,12,0,느낌 가는 대로,2023-04-28,71,4.8,5,"사장님도 친절하시고 분위기도 좋아요. 칵테일, 맥주, 샷 등 여러 주종 팔고, 가격대가 거의 4000-8000원이라 가성비 너무 좋아요.기본 안주는 와사비 프레첼, 엠앤엠즈 초콜릿, ... 더보기",0.508032024,1,0,0.041666667,0.0,1,0,109,4.8,71,0.020048394,0,1,False,0,0.334452294,1,109
마포생갈비 용현점,삼겹살,4.8,6,0,hyun,2022-01-10,3,5.0,5,사장님도 친절하시고 고기도 진짜 존맛이에요! 반찬들 다 무한제공되고 기본으로 김치찌개랑 계란찜 나오는데 여기에 소주 한병 뚝딱입니다!비빔국수 꼭 드세요 진짜 맛있음.. 그리고 볶음밥도.. 하여튼 맛없는게 없음ㅠㅠ흑흑 ,0.514770329,2,0,0.08,0.0,1,0,121,5.0,3,0.5,0,1,False,0,0.467880461,1,121
이치라멘&돈가츠,일본식라면,4.1,18,0,느낌 가는 대로,2022-12-10,71,4.8,5,메뉴: 매운소유라멘(7000)에 돈가츠 추가(2000)제일 비싼 메뉴가 9000원+밥&카레 무한리필이라 가성비 좋아요라멘은 다양한데 입이 예민한 게 아니라 그런지 별 차이 잘 모르... 더보기,0.794248343,2,2,0.095238095,0.095238095,1,1,107,4.8,71,0.020048394,0,-1,False,0,0.259875289,1,107
교반 인하대점,한식,5.0,3,0,BlueHat,2025-07-10,110,4.8,5,"쭈삼비빔밥 먹었는데 맛있었고 다음엔 꼬막비빔밥 먹으려고 합니다. 양이 충분해서 상관없었긴한데, 밥이랑 기본반찬 리필 가능했습니다. 이전에 있던 타이스푼보다 훨씬 깔끔하게 내부 인테리어 하셨고, 비빔밥... 더보기",0.597505331,1,0,0.041666667,0.0,1,0,118,4.8,110,0.700666667,0,-1,False,0,0.264487686,1,118
운반미,베트남음식,4.9,10,0,느낌 가는 대로,2025-02-27,71,4.8,5,메뉴 : 매운쌀국수배달로 우연히 먹게 됐는데 인하대에 이런 곳이 있는 걸 왜 지금 안 거죠? 베트남에 가 본 적은 없지만 현지에서 먹는... 더보기,0.515142202,1,1,0.043478261,0.043478261,1,1,82,4.8,71,0.020048394,0,-1,False,0,0.206373107,1,82
경동삼겹살,삼겹살,4.3,22,11,느낌 가는 대로,2023-04-03,71,4.8,5,"제육 2, 삼겹 2 총 4인분 양입니다. 간단하게 고기 먹고 싶을 때 추천하는 곳이에요. 고기 질이 엄청 좋다 이건 아니지만  채소들도 싱싱하고 반찬들이 맛있어요. ",0.512068152,1,0,0.041666667,0.0,1,0,92,4.8,71,0.020048394,0,-1,False,0,0.200262892,1,92
인하칼국수 인하대후문점,칼국수,4.3,35,24,마타누이,2025-03-28,63,4.6,5,"칼국수 양이 푸짐하고 맛도 훌륭한 곳입니다. 메뉴를 주문하면 보리밥과 다양한 나물 반찬이 함께 제공되는데, 이 또한 정말 맛있었습니다.인하대... 더보기",0.505634546,3,1,0.157894737,0.052631579,1,1,85,4.6,63,0.061616249,0,1,False,0,0.492066476,1,85
미식당,"호프,요리주점",3.6,20,39,느낌 가는 대로,2023-02-08,71,4.8,5,"양식 먹고 싶을 때 저렴하게 먹을 수 있는 곳. 항상 가면 크림새우리조또만 시켜 먹는데 은은하게 불향 나고 맛있어요. 리조또 위에 녹인 치즈랑, 노른자 올려... 더보기",0.525045514,1,0,0.04,0.0,1,0,94,4.8,71,0.020048394,0,-1,False,0,0.204112548,1,94
가메이,일식,3.6,28,48,닭다리,2024-07-20,4,5.0,5,연어 정말 맛있어요!! 인하대후문 맛집 ,0.503913939,0,0,0.0,0.0,0,0,22,5.0,4,0.142857143,0,-1,False,0,0.235197828,1,22
배스킨라빈스 인하대,아이스크림,2.1,11,0,태경,2025-05-27,1,1.0,1,"Spc 제휴업체가 이런식으로 직원교육하는줄은 몰랐네요 5/27일 저녁 오후 근무하신 여성 두분 제발 손님들 왕대접 해달라는게 아니에요. 기본적으로 본인들이 판매하시는 제품에 요구되는 일회용품, 포장을 했을때에 ... 더보기",0.242225796,3,0,0.115384615,0.0,1,0,124,1.0,1,0.0,0,1,False,0,0.21428696,1,124
배스킨라빈스 인하대,아이스크림,2.1,11,0,규민아. 화이팅!??,2024-09-08,4,5.0,5,등신대가 없어서 무지 아쉬웠습니다.ㅜㅜ ,0.744959056,0,0,0.0,0.0,0,0,22,5.0,4,0.0,1,1,False,1,0.285375665,1,22
마약집,닭요리,4.3,10,14,느낌 가는 대로,2024-01-04,71,4.8,5,주문하자마자 만드셔서 아무도 없을 때 가도 15분 정도는 걸립니다. 만석일 때는 오래 기다려야 해요. 조리하느라 바쁘셔서 자리 치우실 여유도 없는 것 같아요. 남자 사장님 혼자... 더보기,0.427581638,2,0,0.076923077,0.0,1,0,105,4.8,71,0.020048394,0,-1,False,0,0.267316158,1,105
맛사랑,한식,3.8,25,35,버터우유,2021-07-08,63,2.7,3,가격대가 대부분 엄청 싸다.메뉴도 많고 공깃밥도 무한리필 가능했던거 같은데 저렴한 가격으로 배불리 먹기 좋... 더보기,0.525798202,1,1,0.066666667,0.066666667,1,1,66,2.7,63,0.008635484,0,1,False,0,0.268761973,1,66
빙그레정육식당 인하대본점,"육류,고기",4.6,11,156,훈,2023-12-24,1,5.0,5,가격이 싸다고 많이 시켯는데 양이 너무 많아서 놀랬습니다 우선 냉면도 양이 많고 된찌도 양이 많으니 천천히 먹고 주문하는게 좋은거 같아여 고기도 저렴해서 질이 별로 일까 싶었는데 가성비?란 단어보단 맛있더라구요 가성... 더보기,0.817963123,2,0,0.064516129,0.0,1,0,127,5.0,1,0.0,1,-1,False,0,0.289940284,1,127
촌닭 인하대점,닭요리,3.9,17,20,느낌 가는 대로,2022-12-10,71,4.8,5,"항상 오븐구이 순살찜닭 시켜 먹어요. 일반 찜닭은 짭짤, 달달한 간장 베이스 느낌이라면 여기는 양념치킨처럼 달달한 양념이 베이스인 느낌이예요!아무것도 추가 안 하고 찜닭만 시키면 7000원대에 밥 해결... 더보기",0.554149508,1,2,0.037037037,0.074074074,1,1,119,4.8,71,0.020048394,0,-1,False,0,0.311671532,1,119
꽃피는 꽃삼겹,삼겹살,4.5,19,12,최선,2024-04-06,86,4.0,5,왕마싯어요!!!!!!!! 근데볶음밥이 4천원이 값이좀 아쉬워용 ㅎㅎ ,0.890837848,0,0,0.0,0.0,0,0,38,4.0,86,0.0,0,-1,False,0,0.069256083,0,38
인쌩맥주 인하대후문점,"호프,요리주점",4.0,1,0,양희경,2024-02-11,5,4.0,4,지하에서 냄새가 조금 나네요.. 지하는 조금 피하셔요 ,0.706851423,0,0,0.0,0.0,0,0,30,4.0,5,0.0,0,0,False,0,0.068833314,0,30
종로닭한마리 인하점,닭요리,4.3,18,0,퉁그리,2023-04-22,391,3.9,4,가성비최고 닭한마리에 소주 3병깔수있음 ,0.503706634,0,0,0.0,0.0,0,0,22,3.9,391,0.019778673,0,-1,False,0,0.067973086,0,22
인하중국집,중국요리,4.6,11,0,구국,2022-01-25,7,2.7,5,사장님 덕분에 너무 잘먹고 있습니다 아래 리뷰는 무시하세요~ ,0.682198465,0,0,0.0,0.0,0,0,34,2.7,7,0.0,0,-1,False,1,0.069938761,0,34
봄날은간다,칵테일바,3.9,10,0,남재,2023-06-06,2,2.5,4,2시좀 넘어서 왔더니 문 닫힌곳....아쉽... ,0.324679047,0,0,0.0,0.0,0,0,27,2.5,2,0.0,0,-1,False,0,0.069214042,0,27
교반 인하대점,한식,5.0,3,0,Asap,2025-05-26,74,4.2,5,꼬막비빔밥이랑 육회비빔밥맛있게 잘먹었어요!클린하고 깔끔한게 너무 좋더라구요!아니 도토리묵 너무 맛있어서 완... 더보기,0.509369195,0,0,0.0,0.0,0,0,66,4.2,74,0.006368835,0,-1,False,0,0.069223327,0,66
고기싸롱 인하대점,"육류,고기",3.2,9,20,windy,2023-04-02,6,4.8,5,고기맛있고 알바생친절하고 매뉴도 좋아요 ,0.502482951,1,0,0.25,0.0,1,0,22,4.8,6,0.0,0,-1,False,1,0.07989084,0,22
치즈를사랑한찜닭 인하대점,닭요리,4.5,11,23,퉁그리,2023-08-10,391,3.9,3,진짜 인하대 최고 찜닭 맛집--- 23.08.10---제가 최애하던 치사닭은 이제... 더보기,0.59338975,0,0,0.0,0.0,0,0,52,3.9,391,0.019778673,0,0,False,1,0.067961339,0,52
계속 쪼르면,분식,4.4,77,29,(오박사466),2021-11-25,7,1.3,1,평점 장난하는 건가?21년 4월에 좋은 평점 우르르르~~ㅎㅎㅎ ,0.570123971,0,0,0.0,0.0,0,0,35,1.3,7,0.0,0,0,False,1,0.069309605,0,35
야키토리 니센,일본식주점,4.3,4,57,가성비대학생,2024-09-08,98,3.6,5,꼬치 괜찮긴한데 싱거움. 시오 타레 못 고름나베 엄청 맛있음 ,0.651491642,0,0,0.0,0.0,0,0,34,3.6,98,0.00122549,0,-1,False,0,0.068763533,0,34
역전우동0410 인하대점,"돈까스,우동",3.3,9,18,비오는날,2025-07-28,59,2.1,1,제육덮밥 주안역 나이 드신 분들이 하는 역전 우동이 더 맛있고 모양도 가지런히 ... 더보기,0.594831645,0,0,0.0,0.0,0,0,51,2.1,59,0.0,0,0,False,0,0.068388685,0,51
머루와다래,분식,3.5,6,16,내 리뷰보면 실패안함,2022-01-03,188,3.7,4,"인하대생중에머다와루래 모르는사람 있을까,,떡볶이 1인분양은 한결같이 둘이먹어도 많음... 더보기",0.465785265,0,0,0.0,0.0,0,0,53,3.7,188,0.012934613,0,-1,False,0,0.067928041,0,53
153횟집,일식,3.3,3,0,핾,2025-08-21,2,3.0,5,사장님이 엄청 친절하시고 종종 서비스도 주십니다 맛있어서 정말 자주 방문해요 똑같은 메뉴만 자주 시키는데 안 질리네요 ,0.585302472,2,1,0.125,0.0625,1,1,66,3.0,2,0.0,0,-1,False,0,0.079512552,0,66
동아리닭갈비,닭요리,4.3,20,76,김상진,2022-05-17,55,4.4,5,일단 정말 맛있고 저렴합니다. 4명 이상 모이면 여기서 닭갈비+우동면+치즈+볶음밥 먹으면 완벽합니다 이렇게 먹어도 만원이 안넘어요 ,0.593649209,0,0,0.0,0.0,0,0,73,4.4,55,0.006602254,0,-1,False,0,0.072097626,0,73
금산양꼬치 본점,양꼬치,3.4,38,52,뜌뜌,2022-04-17,11,3.9,2,"맛은 있는데 사장님이 옆에서 계속 관리 아닌 관리함. 양꼬치 더 구워라, 다 구워졌으니 올려라.. 먹... 더보기",0.563552499,0,0,0.0,0.0,0,0,63,3.9,11,0.006979405,0,0,False,0,0.075310412,0,63
KFC 인하대,패스트푸드,2.4,18,0,.,2020-03-31,712,4.6,5,치킨과 에크타르트 햄버거 맛있음~윙은 살짝 아쉽... 2층 자리도 넓고 주문도 가능하고 만족  ,0.513443947,1,1,0.083333333,0.083333333,1,1,53,3.4,55,0.020269077,0,-1,False,0,0.071766775,0,53
인하각,중국요리,2.3,21,0,enzyme,2020-02-26,137,3.2,1,다먹고 포장해달라고 하니까 이걸 다 먹으면 될텐데 왜 포장하냐고 물어보길래 그럼 안되는는거냐고 물어보니까 인상쓰며 마지못해 해주면서 봉지에 담지도 않고 그냥 주... 더보기,0.2174014,0,0,0.0,0.0,0,0,96,3.2,137,0.0,0,0,False,0,0.068943645,0,96
탄포포,"돈까스,우동",4.1,23,11,:)HJKL,2024-01-14,2,3.0,1,식당에 바퀴벌레가 있네요. 위생이 좋지 않네요. ,0.218053907,0,1,0.0,0.166666667,0,1,27,3.0,2,0.0,0,0,False,0,0.071526472,0,27
맘스터치 인하대점,패스트푸드,2.2,22,0,카말 앗 갈 (Chemophile),2020-07-08,48,4.6,5,After long time this one was revealed. BTW reasonable  for muslim students  of Inha University  ,0.618054271,0,0,0.0,0.0,0,0,96,4.6,48,0.0,0,-1,False,0,0.074931918,0,96
미식당,"호프,요리주점",3.6,20,39,??,2021-09-11,70,4.4,5,사랑해................ ,0.514080167,0,0,0.0,0.0,0,0,20,4.9,19,0.003695626,0,-1,False,1,0.075309472,0,20
육쌈냉면 인하대점,냉면,2.7,21,16,황지윤,2022-04-10,10,3.4,1,바쁘신건 알겠는데 홀에 주문받으시는 남자분 홀에 들어온 순서 생각도 안하시고 주문 받아달라고 5분이나... 더보기,0.482530504,2,0,0.142857143,0.0,1,0,63,3.4,10,0.0,1,0,False,0,0.068956929,0,63
큰손 샤브샤브 인하대점,샤브샤브,3.7,7,133,으,2023-10-08,28,1.4,1,맛은 있다고할수있으나 손님 어느정도 차니 이제 메뉴못나간다며 손님받지말라고 알바생에게 호통치고 왜 빨리빨리 못치우냐고 알바생한테 함부로 말하는 사장땜... 더보기,0.796376944,3,1,0.166666667,0.055555556,1,1,90,1.4,28,0.033333333,0,0,False,0,0.072340524,0,90
꼬꼬얼큰이닭발 인하점,닭요리,4.7,6,19,규용,2024-01-25,11,4.2,5,인생 닭발!!부부 사장님 오래오래 건강하세요~~ ,0.506777763,0,0,0.0,0.0,0,0,27,4.2,11,0.0,0,-1,False,1,0.072616186,0,27
일미닭갈비파전 인하대점,닭요리,4.8,16,40,군침받침대,2025-03-05,18,4.9,5,2명이서 인원 수만큼 시켰는데 이상하게 양이 개많아요 그래서 볶음밥 먹기 실패맛은 평타인데 가격 생각하면 엎드려 절하고 먹긴 해야죠다른 곳 1... 더보기,0.648384094,0,0,0.0,0.0,0,0,86,4.9,18,0.0,0,-1,False,0,0.077045291,0,86
우리소참한우정육식당 인하본점,"육류,고기",4.4,30,17,류재형,2025-05-28,181,3.2,4,그 누가 인하대 최고의 육회비빔밥을 찾거든 눈 들어 우리소참한우를 보게 하라 ,0.676968694,0,0,0.0,0.0,0,0,43,3.2,180,0.799077938,0,-1,False,0,0.069046547,0,43
노브랜드버거 인천용현점,패스트푸드,3.3,21,26,Lovely,2021-09-18,502,4.5,5,매장이 오픈한지 얼마안되서 깔끔하고 버거가 맛있어요! 특히 감자튀김은 엄지척! ,0.551478267,0,0,0.0,0.0,0,0,44,4.5,502,0.009832451,0,-1,False,0,0.071273421,0,44
슬로우캘리 인하대점,샐러드,4.8,5,26,ㅡㅡ,2025-05-13,2,5.0,5,맛있고 무엇보다 정말 친절하세요개인적으론 스파이시 연어가 제일 맛있네요!! ,0.508122325,1,0,0.125,0.0,1,0,42,3.0,2,0.0,0,-1,False,0,0.070863766,0,42
커리야,인도음식,4.3,29,41,이나가,2025-03-02,410,3.4,4,"그래도 나름 커리집인데 손 씻는 곳 좀 어떻게… 삐걱거리는 수전, 세정력이 의심되는 핸드워시…  ",0.758164346,0,0,0.0,0.0,0,0,54,3.4,410,0.4,0,-1,False,0,0.068232789,0,54
까사올리브,양식,3.7,11,12,dylan,2025-05-13,28,3.1,3,맛있는데 요즘 잘하는데 워낙많아서.. 그래도 이동네는 여기밖에.. ,0.824527621,0,0,0.0,0.0,0,0,37,3.1,28,0.0,0,0,False,0,0.068586182,0,37
87닭강정 인하대점,닭강정,4.0,3,0,Jack,2020-11-16,1,5.0,5,맛있음. 밤에 출출할때 야식으로 먹기 좋음. 가격도 쌈. ,0.50537008,0,0,0.0,0.0,0,0,32,5.0,1,0.0,0,-1,False,0,0.103987739,1,32
오하요,일식,2.5,15,0,김태균,2024-07-28,1,1.0,1,포장 픽업 하러 전화 걸었더니 도시락 가격 물어봐도 몰라서 한참 기다리게 해놓고 전화 끊고 가지러 갔더니 전화 끊었으니 음식 준비 안했다고 이야기하는 사장. 점수 낮은데는 이유가 있었다 ,0.430888176,0,1,0.0,0.037037037,0,1,104,1.0,1,0.0,0,0,False,0,0.069722416,0,104
시장을여는사람들 인하대점,술집,2.0,4,0,주주,2024-11-15,1,1.0,1,아니ㅋㅋㅋ 메뉴를 3개를 시켰는데 3개 다 너무 짜요 토스트 시킬 때 설마 토스트가 짜겟어 햇는데 진짜 개 짬 ㅋㅋㅋ 이렇게 짠 데는 처음 봐요 ㅎㅎ 그리고 물티슈가 없음.. 물티슈 없는 가게도 처음 봄 ,0.300480664,1,1,0.03030303,0.03030303,1,1,114,1.0,1,0.0,0,0,False,0,0.072885412,0,114
금산양꼬치 본점,양꼬치,3.4,38,52,??,2025-02-01,3,4.0,2,"맛은 있으나, 요리시간이 너무 오래걸립니다.배달음식은 울린지 얼마안되서 금방 나오는데, 홀에서 시킨 음식은 30분이나 기다려도 요리류 한개 안나와서 물어보니 조리도 안들어갔다고 하네요. ",0.325506777,3,2,0.142857143,0.095238095,1,1,104,4.9,19,0.003695626,0,0,False,0,0.070866535,0,104
이치라멘&돈가츠,일본식라면,4.1,18,0,언더핸드 스로,2019-05-01,215,4.4,5,"생각보다 맛있고, 가격도 저렴합니다. ",0.50396961,0,0,0.0,0.0,0,0,21,4.4,215,0.033333333,0,-1,False,0,0.069978649,0,21
불판위에서춤추는갈매기,"육류,고기",2.2,30,33,ㄱ,2024-04-28,3,2.3,1,사장 불친절 끝판왕고기도 그저 그렇고 기분 잡치고 싶으면 가셈 ,0.7491225,1,0,0.111111111,0.0,1,0,35,3.6,33,0.0,0,0,False,0,0.068424374,0,35
