가게이름,카테고리,전체평점,평점건수,리뷰수,리뷰작성자,리뷰작성일,작성자리뷰작성수,작성자평균평점,리뷰평점,리뷰내용,X3_Sentiment,X1_Organic_Count,X2_Ad_Count,X1_Organic_Ratio,X2_Ad_Ratio,X1_Organic_Flag,X2_Ad_Flag,X4_Specificity,X5_rating_mean,X6_review_num,X7_content_sim,X8_Is_Viral,label,is_StrongLabeled,validated_label,ad_prob,ad_pred
불아더숯불바베큐치킨 인천용현점,치킨,1.0,3,0,목하기호,2025-09-10,2.0,1.0,1.0,진짜 오랜만이다 이 싸구려 양념소스맛..추억에 젖게 해줘서 고마워요 ,0.504170298576355,1,0,0.125,0.0,1,0,38,1.0,2.0,0.0,0,0.0,False,,0.09419737576562456,0
불아더숯불바베큐치킨 인천용현점,치킨,1.0,3,0,sji223,2023-11-30,87.0,3.1,1.0,"배민리뷰 믿지마세요. 별점 관리하는 곳입니다.. 5점 아니면 다 신고하는곳, 애초에 고객의 말을 들을 생각이 없는곳. 맛도 그냥 훈제닭가슴살 맛, 양념은 시판 양념맛. 리뷰 믿지마세요 ",0.2097017616033554,3,0,0.125,0.0,1,0,103,3.1,87.0,0.0,0,0.0,False,,0.08319608026188316,0
하얀 감자탕,감자탕,3.8,8,0,오성빈,2025-10-19,3.0,2.3,2.0,간이 거의 평생 소금 안 먹고 산 사람들을 위한 맛?우거지 해장... 더보기,0.6078085899353027,0,0,0.0,0.0,0,0,42,2.3,3.0,0.0,0,0.0,False,,0.08645298161542792,0
하얀 감자탕,감자탕,3.8,8,0,유정??,2025-08-05,3.0,3.7,5.0,"여기는 진짜 진짜 맛집임사장님이 홍보를 덜하셔서 그렇지 진짜 맛있고 재료도 좋은거 쓰시는거 느껴지고, 가격도 저렴함 ㅋㅋㅋ ",0.5115077495574951,0,0,0.0,0.0,0,0,69,3.7,3.0,0.0,0,-1.0,False,,0.08440930561376267,0
하얀 감자탕,감자탕,3.8,8,0,현석,2025-05-03,2.0,3.0,5.0,우마이데쓰요 ,0.5,0,0,0.0,0.0,0,0,7,3.0,2.0,0.0,0,-1.0,False,,0.08477676278105895,0
하얀 감자탕,감자탕,3.8,8,0,정규서,2025-04-26,7.0,5.0,5.0,고기 양도 많이 주시고 맛있음 ,0.5054057240486145,0,0,0.0,0.0,0,0,17,5.0,7.0,0.0,0,-1.0,False,,0.13202040872951254,0
하얀 감자탕,감자탕,3.8,8,0,정픽,2024-10-28,608.0,4.2,5.0,맛있는데~~ ,0.5,0,0,0.0,0.0,0,0,7,4.2,608.0,0.0,0,-1.0,False,,0.08429774166627255,0
하얀 감자탕,감자탕,3.8,8,0,Choi,2024-10-03,2.0,5.0,5.0,"자극적이고 짠 국밥에 익숙하신 분들은 안 맞을 수도 있을 것 같긴 한데, 저는 담백하니 맛있어서 매번 잘 먹고 옵니다.뭔가... 건강 생각해서 ... 더보기",0.8516345620155334,0,0,0.0,0.0,0,0,87,5.0,2.0,0.0,0,0.0,True,0.0,0.0922954264038042,0
하얀 감자탕,감자탕,3.8,8,0,라도스메가쿠,2024-06-14,4.0,2.0,1.0,우거지 해장국 시켰는데 우거지 맛이 이상하다. 분명 짭짤하면서 감칠맛이 나야 하는데 시큼한 맛이 난다.국물이 너무 싱겁고 고기에 간이 ... 더보기,0.4183273315429687,0,1,0.0,0.05,0,1,82,2.0,4.0,0.0,0,0.0,False,,0.08526037469866395,0
하얀 감자탕,감자탕,3.8,8,0,고메릴라(@gourmet_rilla),2023-03-27,82.0,3.8,2.0,ㅠ.. ,0.5,0,0,0.0,0.0,0,0,4,3.8,82.0,0.0,0,0.0,False,,0.08247098784446096,0
87닭강정 인하대점,닭강정,4.0,3,0,레코,2023-02-24,63.0,4.2,5.0,가성비좋고 맛있는 그런 닭강정집입니다닭강정 먹고 싶은 생각이 들면 여기서 사와서 먹을 거 같아요 ,0.5380321145057678,0,0,0.0,0.0,0,0,54,4.2,63.0,0.0416666666666666,0,-1.0,False,,0.084612378230814,0
87닭강정 인하대점,닭강정,4.0,3,0,Jack,2020-11-16,1.0,5.0,5.0,맛있음. 밤에 출출할때 야식으로 먹기 좋음. 가격도 쌈. ,0.5053700804710388,0,0,0.0,0.0,0,0,32,5.0,1.0,0.0,0,0.0,True,,0.11433189008008607,0
핸즈업,"호프,요리주점",4.8,12,0,평가원,2025-09-02,487.0,4.2,5.0,"좋았어요! 칵테일 종류 개많음. 외부 음식 반입도 가능하고, 다트 던지고 있는 커플도 있고, 노래도 빠방하고… 매우 자유로운 공간임 ",0.5044651627540588,0,1,0.0,0.0555555555555555,0,1,74,4.2,487.0,0.0123148148148148,0,-1.0,False,,0.08468336915950517,0
핸즈업,"호프,요리주점",4.8,12,0,정진우,2025-07-23,13.0,5.0,5.0,내용없음,0.5,0,0,0.0,0.0,0,0,4,5.0,13.0,1.0,0,-1.0,False,,0.09109710684509024,0
핸즈업,"호프,요리주점",4.8,12,0,류재형,2025-06-02,180.0,3.2,4.0,내용없음,0.5,0,0,0.0,0.0,0,0,4,3.2,180.0,0.7990779375177871,0,-1.0,False,,0.08260960123303544,0
핸즈업,"호프,요리주점",4.8,12,0,MLT,2024-02-01,26.0,4.3,5.0,맛좋고 가성비 좋음 다만 지하라 그런지 오래있으면 목이 칼칼함 ,0.8813482522964478,0,0,0.0,0.0,0,0,35,4.3,26.0,0.0,0,-1.0,False,,0.08737910882306957,0
핸즈업,"호프,요리주점",4.8,12,0,고니,2024-01-29,16.0,3.5,5.0,저렴하고 맛있는 펍 ,0.5044152140617371,0,0,0.0,0.0,0,0,11,3.5,16.0,0.0,0,-1.0,False,,0.08336077364459868,0
핸즈업,"호프,요리주점",4.8,12,0,임정윤,2023-06-08,4.0,5.0,5.0,최고 ,0.5,0,0,0.0,0.0,0,0,3,5.0,4.0,0.0,0,-1.0,False,,0.1150814561221731,0
핸즈업,"호프,요리주점",4.8,12,0,느낌 가는 대로,2023-04-28,71.0,4.8,5.0,"사장님도 친절하시고 분위기도 좋아요. 칵테일, 맥주, 샷 등 여러 주종 팔고, 가격대가 거의 4000-8000원이라 가성비 너무 좋아요.기본 안주는 와사비 프레첼, 엠앤엠즈 초콜릿, ... 더보기",0.5080320239067078,1,0,0.0416666666666666,0.0,1,0,109,4.8,71.0,0.0200483943111257,0,0.0,True,,0.08442702309209113,0
핸즈업,"호프,요리주점",4.8,12,0,최현서,2022-06-10,14.0,4.9,5.0,내용없음,0.5,0,0,0.0,0.0,0,0,4,4.9,14.0,0.0,0,-1.0,False,,0.10274077591028405,0
핸즈업,"호프,요리주점",4.8,12,0,쩝쩝박사,2022-04-05,42.0,4.4,5.0,인하대에서 느끼는 홍대감성 ,0.5996644496917725,0,0,0.0,0.0,0,0,15,4.4,42.0,0.0,0,-1.0,False,,0.08416428320220297,0
핸즈업,"호프,요리주점",4.8,12,0,주디,2022-03-04,18.0,3.9,4.0,내용없음,0.5,0,0,0.0,0.0,0,0,4,3.9,18.0,0.0,0,-1.0,False,,0.08318099624051145,0
핸즈업,"호프,요리주점",4.8,12,0,A330,2022-01-20,8.0,4.5,5.0,최고 ,0.5,0,0,0.0,0.0,0,0,3,4.5,8.0,0.3333333333333333,0,-1.0,False,,0.09108560123380627,0
핸즈업,"호프,요리주점",4.8,12,0,이동혁,2021-11-15,2.0,5.0,5.0,내용없음,0.5,0,0,0.0,0.0,0,0,4,5.0,2.0,0.0,0,-1.0,False,,0.11845784762952216,0
스며듦 튀김수육,분식,5.0,2,0,ㆍ,2024-11-10,7.0,4.6,5.0,"수육튀김 맛있어요^^먹기전 사진 찍었어야는데, 먹어봐야 아니까 ㅋ ",0.7126210331916809,0,0,0.0,0.0,0,0,37,4.6,7.0,0.0,0,-1.0,False,,0.10045592310471188,0
스며듦 튀김수육,분식,5.0,2,0,..,2024-02-28,1.0,5.0,5.0,수육튀김 먹고싶어서 찾다가 방문 하게 되었습니다~! 비계랑 살코기가 적당하면서 육즙도 쫙 나오는게 완전 맛집입니덯ㅎㅎ????  ,0.5211398005485535,0,0,0.0,0.0,0,0,71,5.0,1.0,0.0,0,-1.0,False,,0.08832168466161763,0
종로빈대떡 인하대점,한식,5.0,2,0,가성비대학생,2024-11-16,98.0,3.6,5.0,무조건 파전류로 돌진~~~! ,0.6351710557937622,0,0,0.0,0.0,0,0,16,3.6,98.0,0.0012254901960784,0,-1.0,False,,0.08256167771017338,0
종로빈대떡 인하대점,한식,5.0,2,0,사슴벌레,2023-12-17,541.0,4.6,5.0,"언제나 그 모습, 그 맛 그대로이다. ",0.5236754417419434,0,0,0.0,0.0,0,0,21,4.6,541.0,0.0,0,-1.0,False,,0.08897786231727682,0
소주집,실내포장마차,3.0,1,0,류재형,2025-06-02,180.0,3.2,3.0,내용없음,0.5,0,0,0.0,0.0,0,0,4,3.2,180.0,0.7990779375177871,0,0.0,False,,0.08260960123303544,0
맥반석 짝태와노가리,"호프,요리주점",3.0,2,0,퉁그리,2023-04-22,391.0,3.9,3.0,간장계란밥도 맛있구 먹태 맛있고 안주들 딴것도 맛있어요 ,0.5047236084938049,0,0,0.0,0.0,0,0,31,3.9,391.0,0.0197786732371712,0,0.0,False,,0.08350543102599026,0
맥반석 짝태와노가리,"호프,요리주점",3.0,2,0,태관,2018-10-24,24.0,3.4,3.0,문어다리 드세요 맥주 술술 넘어감 ,0.6415229439735413,0,0,0.0,0.0,0,0,19,3.4,24.0,0.0,0,0.0,False,,0.08522030343255167,0
수꼬치,일본식주점,4.7,6,0,ㅇㅇ,2024-08-01,139.0,3.9,5.0,크림짬뽕 ,0.5,0,0,0.0,0.0,0,0,5,3.9,139.0,0.0144230769230769,0,-1.0,False,,0.08238552768997116,0
수꼬치,일본식주점,4.7,6,0,3점평범4점맛있5점최고,2022-02-24,518.0,3.8,4.0,꼬치 맛있어요 ,0.5,0,0,0.0,0.0,0,0,8,3.8,518.0,0.0176349890776768,0,-1.0,False,,0.08235905799546459,0
수꼬치,일본식주점,4.7,6,0,su,2021-11-01,1.0,5.0,5.0,내용없음,0.5,0,0,0.0,0.0,0,0,4,5.0,1.0,0.0,0,-1.0,False,,0.11129155206070854,0
수꼬치,일본식주점,4.7,6,0,Jamonit,2021-05-22,49.0,3.8,4.0,내용없음,0.5,0,0,0.0,0.0,0,0,4,3.8,49.0,0.0,0,-1.0,False,,0.08247529124312908,0
수꼬치,일본식주점,4.7,6,0,je23586,2020-10-31,43.0,4.4,5.0,모둠꼬치랑 연어사시미 조개탕 존맛탱ㅠㅠ ,0.5852819085121155,0,0,0.0,0.0,0,0,22,4.4,43.0,0.05,0,-1.0,False,,0.08996493689117613,0
수꼬치,일본식주점,4.7,6,0,Nowornever,2019-07-01,9.0,3.3,5.0,육회+연어세트 시켜서 먹었는데 정말..... 광장시장에서도 그렇게 맛있는 육회 못 먹었는데.. 그리고 또 연어는 왜 또 맛있는거야 근... 더보기,0.3545093536376953,0,0,0.0,0.0,0,0,81,3.3,9.0,0.0,0,-1.0,False,,0.08522387547680604,0
덮수룩,한식,5.0,2,0,고재윤,2025-03-19,1.0,5.0,5.0,남자 둘이서 갔는데 배부르게 먹고 나왔어요반찬도 너무 맛있고 덮밥도 맛있었어요항정살덮밥 추천합니다 ,0.5029317736625671,1,0,0.0909090909090909,0.0,1,0,55,5.0,1.0,0.0,0,-1.0,False,,0.10086849524344102,0
덮수룩,한식,5.0,2,0,은영,2024-10-01,1.0,5.0,5.0,너무 맛있어요 양도 많고 밥도 리필 가능해서 좋았어요 집이근처라 자주갈려구용 ,0.5137434005737305,0,1,0.0,0.1,0,1,43,5.0,1.0,0.0,0,-1.0,False,,0.10595875565774382,0
오드룸,칵테일바,4.3,6,40,고니,2024-08-05,16.0,3.5,5.0,칵테일 생각나면 오는 곳 아늑하고 좋아요 ,0.50719153881073,0,0,0.0,0.0,0,0,23,3.5,16.0,0.0,1,-1.0,False,,0.09815502041673349,0
오드룸,칵테일바,4.3,6,40,브륄레,2024-08-05,7.0,4.4,5.0,인하대 칵테일 맛집 ,0.5112481117248535,0,0,0.0,0.0,0,0,11,4.4,7.0,0.0119047619047619,1,-1.0,False,,0.0976218674830069,0
오드룸,칵테일바,4.3,6,40,ㅇㅇ,2024-08-01,139.0,3.9,5.0,최강의 가성비 분위기 좋음 ,0.5030937790870667,0,0,0.0,0.0,0,0,15,3.9,139.0,0.0144230769230769,0,-1.0,False,,0.08238552768997116,0
오드룸,칵테일바,4.3,6,40,told you,2022-05-29,123.0,4.5,1.0,내용없음,0.5,0,0,0.0,0.0,0,0,4,4.5,123.0,0.1666666666666666,0,0.0,False,,0.08291946179562557,0
오드룸,칵테일바,4.3,6,40,박수아,2022-05-14,6.0,4.3,5.0,최고의 맛집  ,0.5,0,0,0.0,0.0,0,0,8,4.3,6.0,0.0,0,-1.0,False,,0.10287763048307337,0
오드룸,칵테일바,4.3,6,40,맛잘알,2021-05-17,6.0,3.0,5.0,숨겨진 맛집!!! 칵테일도 진짜 맛있구우연히 들어왔는데  ... 더보기,0.5462353229522705,0,0,0.0,0.0,0,0,39,3.0,6.0,0.0,0,-1.0,False,,0.09084593544932976,0
굽네치킨 용현1호점,치킨,3.3,4,0,SIM,2024-08-24,43.0,3.8,1.0,기프티콘 사용했는데 다식어서왔어요  ,0.4546365737915039,0,0,0.0,0.0,0,0,20,3.8,43.0,0.0,0,0.0,False,,0.0853221759182779,0
굽네치킨 용현1호점,치킨,3.3,4,0,gastronomie,2023-09-02,98.0,3.8,2.0,ㅠㅠ 튀겨놓은 거 주신 건가요..배달 예상 35분이었는데 생각보다 일찍 도착했어요. 맛보니 너무 퍽퍽해요.. 같이 먹은 친구도 동시에 같은 생각했어요. 목 부위쪽 살 색도 검고 …  ,0.6220422983169556,0,0,0.0,0.0,0,0,102,3.8,98.0,0.0149455926659381,0,0.0,False,,0.08307272554295488,0
굽네치킨 용현1호점,치킨,3.3,4,0,Bella,2023-05-04,2.0,3.5,5.0,내용없음,0.5,0,0,0.0,0.0,0,0,4,3.5,2.0,0.0,0,-1.0,False,,0.08474556765546389,0
굽네치킨 용현1호점,치킨,3.3,4,0,김성관,2021-11-15,2.0,5.0,5.0,"포장주문했는데 사장님도 친절하시고, 예정보다 늦게갔는데도  따로 보관해주셔서 따듯하고, 바삭하게 맛있게 먹었습니다! 맛집이에요~ ",0.5036066770553589,2,0,0.1666666666666666,0.0,1,0,72,5.0,2.0,0.0,0,-1.0,False,,0.0972139432836924,0
청년밥상빨라우 인하대점,한식,5.0,1,0,마타누이,2024-05-19,63.0,4.6,5.0,이렇게 저렴해도 될까 싶을 정도로 정말 착한 가격에 맛있는 김치찌개를 먹을 수 있는 식당입니다. 착한 가격 덕분에 인근의 학생분들도 많이 먹으러 오는 듯합니다. 착한 가격... 더보기,0.5285167694091797,0,1,0.0,0.0384615384615384,0,1,102,4.6,63.0,0.0616162488298779,0,-1.0,False,,0.08502571133429848,0
